14101753,215.735,53.6535,0.520125,100000
14101742,215.817,53.6423,0.913557,100001
14101725,215.852,53.6454,1.15335,100002
14101719,215.846,53.6251,0.579496,100003
14101716,215.891,53.6253,0.99109,100004
14101546,215.59,53.5847,1.09871,100005
14101513,215.745,53.5902,0.893553,100006
14101491,215.905,53.5718,0.518284,100007
14101487,215.93,53.6072,1.13223,863
14101486,215.93,53.6071,1.13367,863
14101483,215.985,53.5567,1.31218,100010
14101467,215.973,53.5801,0.783017,1053
14101466,215.972,53.5797,0.784501,1053
14101316,215.544,53.5066,1.28239,100013
14101312,215.641,53.5152,0.67627,100014
14101286,215.686,53.5211,1.1312,935
14101276,215.785,53.5355,1.30689,918
14101275,215.75,53.5454,0.606103,820
14101273,215.757,53.5089,0.965931,100018
14101264,215.898,53.5379,0.680623,100019
14101263,215.888,53.5454,0.413237,100020
14101262,215.889,53.5449,0.743152,100021
14101252,215.934,53.5007,0.889143,1096
14101237,215.977,53.5435,0.787101,100023
14101233,215.995,53.516,0.975907,100024
14101216,216.041,53.5315,0.680556,824
14101212,216.049,53.5215,1.29576,1131
14101209,216.061,53.5084,1.21174,100027
14101058,215.468,53.4413,0.765542,844
14101057,215.468,53.4412,0.769862,844
14101054,215.467,53.4406,1.00821,100030
14101049,215.513,53.4784,0.340023,100031
14101046,215.583,53.4442,1.20888,100032
14101045,215.583,53.4438,0.276667,100033
14101013,215.83,53.4548,0.192242,430
14101012,215.83,53.4543,0.726146,100035
14101007,215.751,53.4507,0.382734,100036
14101004,215.921,53.4751,1.13872,100037
14101003,215.919,53.4747,1.12887,754
14100990,215.892,53.4708,0.86755,100039
14100986,215.886,53.4861,0.646836,100040
14100978,216.026,53.4851,0.761701,100041
14100977,216.025,53.4846,0.636455,1058
14100976,216.005,53.4947,0.630202,100043
14100972,215.942,53.4729,0.807855,1101
14100969,215.992,53.4862,0.973638,100045
14100955,216.04,53.4833,0.824285,100046
14100868,215.399,53.3881,0.571024,100047
14100866,215.378,53.4095,1.19001,100048
14100856,215.411,53.3983,0.99983,100049
14100840,215.542,53.4105,0.946202,100050
14100830,215.552,53.3886,1.21294,719
14100829,215.552,53.3879,1.2153,719
14100828,215.643,53.3914,1.0073,410
14100820,215.624,53.423,1.24007,100054
14100816,215.607,53.3829,0.251513,899
14100815,215.553,53.3901,1.21324,719
14100807,215.707,53.392,0.838157,1028
14100806,215.706,53.3916,0.762128,100058
14100805,215.733,53.3959,1.28869,100059
14100802,215.717,53.4335,0.464049,100060
14100800,215.675,53.3903,1.00768,100061
14100793,215.734,53.4364,1.25187,100062
14100785,215.697,53.4113,0.724289,100063
